№,Модель,Вариант,Объем памяти,Цвет,Страна,Тип SIM,Базовая цена (₽)
1,"X","","64GB","Bl","Китай 🇨🇳","1 SIM",6000
2,"X","","64GB","Bl","Китай 🇨🇳","2 SIM",6000
3,"X","","64GB","Wh","Китай 🇨🇳","1 SIM",6000
4,"X","","64GB","Wh","Китай 🇨🇳","2 SIM",6000
5,"X","","64GB","G","Китай 🇨🇳","1 SIM",6000
6,"X","","64GB","G","Китай 🇨🇳","2 SIM",6000
7,"X","","64GB","R","Китай 🇨🇳","1 SIM",6000
8,"X","","64GB","R","Китай 🇨🇳","2 SIM",6000
9,"X","","64GB","Bl","США 🇺🇸","eSIM",6000
10,"X","","64GB","Wh","США 🇺🇸","eSIM",6000
11,"X","","64GB","G","США 🇺🇸","eSIM",6000
12,"X","","64GB","R","США 🇺🇸","eSIM",6000
13,"X","","64GB","Bl","Европа 🇪🇺","eSIM",6000
14,"X","","64GB","Wh","Европа 🇪🇺","eSIM",6000
15,"X","","64GB","G","Европа 🇪🇺","eSIM",6000
16,"X","","64GB","R","Европа 🇪🇺","eSIM",6000
17,"X","","64GB","Bl","ОАЭ 🇦🇪","1 SIM",6000
18,"X","","64GB","Bl","ОАЭ 🇦🇪","2 SIM",6000
19,"X","","64GB","Wh","ОАЭ 🇦🇪","1 SIM",6000
20,"X","","64GB","Wh","ОАЭ 🇦🇪","2 SIM",6000
21,"X","","64GB","G","ОАЭ 🇦🇪","1 SIM",6000
22,"X","","64GB","G","ОАЭ 🇦🇪","2 SIM",6000
23,"X","","64GB","R","ОАЭ 🇦🇪","1 SIM",6000
24,"X","","64GB","R","ОАЭ 🇦🇪","2 SIM",6000
25,"X","","128GB","Bl","Китай 🇨🇳","1 SIM",8000
26,"X","","128GB","Bl","Китай 🇨🇳","2 SIM",8000
27,"X","","128GB","Wh","Китай 🇨🇳","1 SIM",8000
28,"X","","128GB","Wh","Китай 🇨🇳","2 SIM",8000
29,"X","","128GB","G","Китай 🇨🇳","1 SIM",8000
30,"X","","128GB","G","Китай 🇨🇳","2 SIM",8000
31,"X","","128GB","R","Китай 🇨🇳","1 SIM",8000
32,"X","","128GB","R","Китай 🇨🇳","2 SIM",8000
33,"X","","128GB","Bl","США 🇺🇸","eSIM",8000
34,"X","","128GB","Wh","США 🇺🇸","eSIM",8000
35,"X","","128GB","G","США 🇺🇸","eSIM",8000
36,"X","","128GB","R","США 🇺🇸","eSIM",8000
37,"X","","128GB","Bl","Европа 🇪🇺","eSIM",8000
38,"X","","128GB","Wh","Европа 🇪🇺","eSIM",8000
39,"X","","128GB","G","Европа 🇪🇺","eSIM",8000
40,"X","","128GB","R","Европа 🇪🇺","eSIM",8000
41,"X","","128GB","Bl","ОАЭ 🇦🇪","1 SIM",8000
42,"X","","128GB","Bl","ОАЭ 🇦🇪","2 SIM",8000
43,"X","","128GB","Wh","ОАЭ 🇦🇪","1 SIM",8000
44,"X","","128GB","Wh","ОАЭ 🇦🇪","2 SIM",8000
45,"X","","128GB","G","ОАЭ 🇦🇪","1 SIM",8000
46,"X","","128GB","G","ОАЭ 🇦🇪","2 SIM",8000
47,"X","","128GB","R","ОАЭ 🇦🇪","1 SIM",8000
48,"X","","128GB","R","ОАЭ 🇦🇪","2 SIM",8000
49,"X","","256GB","Bl","Китай 🇨🇳","1 SIM",13000
50,"X","","256GB","Bl","Китай 🇨🇳","2 SIM",13000
51,"X","","256GB","Wh","Китай 🇨🇳","1 SIM",13000
52,"X","","256GB","Wh","Китай 🇨🇳","2 SIM",13000
53,"X","","256GB","G","Китай 🇨🇳","1 SIM",13000
54,"X","","256GB","G","Китай 🇨🇳","2 SIM",13000
55,"X","","256GB","R","Китай 🇨🇳","1 SIM",13000
56,"X","","256GB","R","Китай 🇨🇳","2 SIM",13000
57,"X","","256GB","Bl","США 🇺🇸","eSIM",13000
58,"X","","256GB","Wh","США 🇺🇸","eSIM",13000
59,"X","","256GB","G","США 🇺🇸","eSIM",13000
60,"X","","256GB","R","США 🇺🇸","eSIM",13000
61,"X","","256GB","Bl","Европа 🇪🇺","eSIM",13000
62,"X","","256GB","Wh","Европа 🇪🇺","eSIM",13000
63,"X","","256GB","G","Европа 🇪🇺","eSIM",13000
64,"X","","256GB","R","Европа 🇪🇺","eSIM",13000
65,"X","","256GB","Bl","ОАЭ 🇦🇪","1 SIM",13000
66,"X","","256GB","Bl","ОАЭ 🇦🇪","2 SIM",13000
67,"X","","256GB","Wh","ОАЭ 🇦🇪","1 SIM",13000
68,"X","","256GB","Wh","ОАЭ 🇦🇪","2 SIM",13000
69,"X","","256GB","G","ОАЭ 🇦🇪","1 SIM",13000
70,"X","","256GB","G","ОАЭ 🇦🇪","2 SIM",13000
71,"X","","256GB","R","ОАЭ 🇦🇪","1 SIM",13000
72,"X","","256GB","R","ОАЭ 🇦🇪","2 SIM",13000
73,"X","R","64GB","Bl","Китай 🇨🇳","1 SIM",8000
74,"X","R","64GB","Bl","Китай 🇨🇳","2 SIM",8000
75,"X","R","64GB","Wh","Китай 🇨🇳","1 SIM",8000
76,"X","R","64GB","Wh","Китай 🇨🇳","2 SIM",8000
